researchID,begin,end,position,employer,department,city,region,country,supervisor
3,11/20/20,,Research Assistant,Grand Valley State University,Department of Psychology,Allendale,Michigan,United States,Michael Wolfe
2,12/10/19,,Research Assistant,Grand Valley State University,Department of Psychology,Allendale,Michigan,United States,Jing Chen
1,10/10/18,5/1/19,Research Assistant,Grand Valley State University,Department of Movement Science,Allendale,Michigan,United States,Stephen Glass
